date,0 years,1-14 years,15-44 years,45-64 years,65-74 years,75-84 years,85 years and over
2020-03-16,0,0,0,1,5,3,2
2020-03-23,0,0,0,12,11,24,15
2020-03-30,0,0,4,30,67,107,74
2020-04-06,0,0,5,64,100,228,213
2020-04-13,0,0,2,46,81,222,299
2020-04-20,0,0,7,54,100,227,274
2020-04-27,0,0,2,38,74,144,269
2020-05-04,0,0,2,35,50,145,183
2020-05-11,0,0,2,25,47,93,169
2020-05-18,0,0,0,12,23,71,124
2020-05-25,0,0,1,9,16,45,60
2020-06-01,0,0,2,9,10,25,43
2020-06-08,0,0,1,2,6,24,35
2020-06-15,0,0,0,3,4,16,26
2020-06-22,0,0,0,3,4,13,16
2020-06-29,0,0,1,2,1,7,8
2020-07-06,0,0,0,0,2,4,7
2020-07-13,0,0,0,0,0,4,2
2020-07-20,0,0,0,1,0,5,2
2020-07-27,0,0,0,2,1,2,1
2020-08-03,0,0,0,0,1,2,2
2020-08-10,0,0,0,1,1,0,1
2020-08-17,0,0,0,0,0,2,3
2020-08-24,0,0,0,1,1,1,4
2020-08-31,0,0,0,0,0,0,2
2020-09-07,0,0,0,0,2,3,0
2020-09-14,0,0,0,2,0,2,7
2020-09-21,0,0,0,1,0,4,5
2020-09-28,0,0,0,1,3,12,4
2020-10-05,0,0,1,4,4,9,7
2020-10-12,0,0,2,9,9,39,17
2020-10-19,0,0,2,14,20,42,28
2020-10-26,0,0,0,13,40,58,57
2020-11-02,0,0,0,20,35,71,81
2020-11-09,0,0,1,32,53,99,94
2020-11-16,0,0,2,31,41,68,104
2020-11-23,0,0,2,34,39,82,95
2020-11-30,0,0,2,19,40,77,94
2020-12-07,0,0,0,24,34,83,85
2020-12-14,1,0,0,14,24,70,99
2020-12-21,0,0,0,16,50,58,76
2020-12-28,0,0,2,14,31,60,80
2021,0,0,15,187,298,471,686
2021-01-04,0,0,4,34,71,122,161
2021-01-11,0,0,1,37,86,105,144
2021-01-18,0,0,5,58,65,133,191
2021-01-25,0,0,5,58,76,111,190
