date,Aberdeenshire
2020-03-16,1
2020-03-23,1
2020-03-30,4
2020-04-06,21
2020-04-13,25
2020-04-20,23
2020-04-27,13
2020-05-04,11
2020-05-11,8
2020-05-18,3
2020-05-25,1
2020-06-01,0
2020-06-08,0
2020-06-15,3
2020-06-22,2
2020-06-29,0
2020-07-06,1
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,1
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,0
2020-10-05,0
2020-10-12,0
2020-10-19,1
2020-10-26,1
2020-11-02,2
2020-11-09,1
2020-11-16,2
2020-11-23,0
2020-11-30,1
2020-12-07,11
2020-12-14,8
2020-12-21,9
2020-12-28,7
2021,57
2021-01-04,16
2021-01-11,11
2021-01-18,14
2021-01-25,16
