date,Orkney
2019-12-30,1
2020-01-06,5
2020-01-13,2
2020-01-20,4
2020-01-27,2
2020-02-03,5
2020-02-10,3
2020-02-17,1
2020-02-24,4
2020-03-02,5
2020-03-09,6
2020-03-16,7
2020-03-23,8
2020-03-30,9
2020-04-06,11
2020-04-13,4
2020-04-20,6
2020-04-27,3
2020-05-04,2
2020-05-11,5
2020-05-18,8
2020-05-25,5
2020-06-01,8
2020-06-08,2
2020-06-15,5
2020-06-22,4
2020-06-29,2
2020-07-06,4
2020-07-13,3
2020-07-20,4
2020-07-27,4
2020-08-03,3
2020-08-10,5
2020-08-17,3
2020-08-24,8
2020-08-31,4
2020-09-07,6
2020-09-14,3
2020-09-21,5
2020-09-28,3
2020-10-05,6
2020-10-12,2
2020-10-19,3
2020-10-26,5
2020-11-02,4
2020-11-09,6
2020-11-16,8
2020-11-23,7
2020-11-30,6
2020-12-07,4
2020-12-14,8
2020-12-21,8
2020-12-28,5
2021,23
2021-01-04,4
2021-01-11,5
2021-01-18,4
2021-01-25,10
