date,Greater Glasgow and Clyde
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,5
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,5
2020-09-28,5
2020-09-29,5
2020-09-30,5
2020-10-01,5
2020-10-02,0
2020-10-03,5
2020-10-04,6
2020-10-05,6
2020-10-06,6
2020-10-07,7
2020-10-08,9
2020-10-09,11
2020-10-10,13
2020-10-11,14
2020-10-12,13
2020-10-13,14
2020-10-14,15
2020-10-15,16
2020-10-16,19
2020-10-17,21
2020-10-18,20
2020-10-19,19
2020-10-20,18
2020-10-21,18
2020-10-22,19
2020-10-23,17
2020-10-24,22
2020-10-25,23
2020-10-26,21
2020-10-27,17
2020-10-28,20
2020-10-29,18
2020-10-30,17
2020-10-31,15
2020-11-01,15
2020-11-02,21
2020-11-03,20
2020-11-04,22
2020-11-05,21
2020-11-06,22
2020-11-07,29
2020-11-08,30
2020-11-09,27
2020-11-10,26
2020-11-11,25
2020-11-12,31
2020-11-13,27
2020-11-14,25
2020-11-15,28
2020-11-16,28
2020-11-17,26
2020-11-18,30
2020-11-19,29
2020-11-20,29
2020-11-21,37
2020-11-22,36
2020-11-23,29
2020-11-24,31
2020-11-25,29
2020-11-26,37
2020-11-27,28
2020-11-28,28
2020-11-29,26
2020-11-30,26
2020-12-01,25
2020-12-02,22
2020-12-03,19
2020-12-04,15
2020-12-05,16
2020-12-06,15
2020-12-07,13
2020-12-08,12
2020-12-09,10
2020-12-10,12
2020-12-11,12
2020-12-12,11
2020-12-13,10
2020-12-14,9
2020-12-15,7
2020-12-16,8
2020-12-17,9
2020-12-18,9
2020-12-19,7
2020-12-20,7
2020-12-21,8
2020-12-22,10
2020-12-23,7
2020-12-24,8
2020-12-25,6
2020-12-26,7
2020-12-27,9
2020-12-28,12
2020-12-29,16
2020-12-30,15
2020-12-31,13
2021-01-01,12
2021-01-02,15
2021-01-03,20
2021-01-04,19
2021-01-05,24
2021-01-06,23
2021-01-07,21
2021-01-08,22
2021-01-09,25
2021-01-10,28
2021-01-11,31
2021-01-12,34
