week commencing,City of Edinburgh
2019-12-30,87
2020-01-06,107
2020-01-13,86
2020-01-20,89
2020-01-27,77
2020-02-03,106
2020-02-10,88
2020-02-17,82
2020-02-24,91
2020-03-02,102
2020-03-09,106
2020-03-16,93
2020-03-23,83
2020-03-30,124
2020-04-06,174
2020-04-13,158
2020-04-20,152
2020-04-27,154
2020-05-04,114
2020-05-11,134
2020-05-18,115
2020-05-25,83
2020-06-01,84
2020-06-08,71
2020-06-15,89
2020-06-22,66
2020-06-29,69
2020-07-06,55
2020-07-13,61
2020-07-20,64
2020-07-27,64
2020-08-03,73
2020-08-10,69
2020-08-17,75
2020-08-24,73
2020-08-31,70
2020-09-07,65
2020-09-14,63
2020-09-21,73
2020-09-28,105
2020-10-05,82
2020-10-12,84
2020-10-19,96
2020-10-26,82
2020-11-02,86
2020-11-09,94
2020-11-16,99
2020-11-23,80
2020-11-30,92
2020-12-07,93
2020-12-14,88
2020-12-21,78
2020-12-28,101
2021,765
2021-01-04,117
2021-01-11,123
2021-01-18,97
2021-01-25,118
2021-02-01,120
2021-02-08,93
2021-02-15,97
