week commencing,Shetland Islands
2019-12-30,5
2020-01-06,4
2020-01-13,2
2020-01-20,2
2020-01-27,5
2020-02-03,6
2020-02-10,4
2020-02-17,4
2020-02-24,3
2020-03-02,4
2020-03-09,3
2020-03-16,3
2020-03-23,9
2020-03-30,8
2020-04-06,8
2020-04-13,3
2020-04-20,2
2020-04-27,6
2020-05-04,6
2020-05-11,6
2020-05-18,2
2020-05-25,5
2020-06-01,3
2020-06-08,4
2020-06-15,3
2020-06-22,0
2020-06-29,4
2020-07-06,7
2020-07-13,5
2020-07-20,3
2020-07-27,3
2020-08-03,4
2020-08-10,1
2020-08-17,2
2020-08-24,3
2020-08-31,6
2020-09-07,6
2020-09-14,3
2020-09-21,2
2020-09-28,2
2020-10-05,4
2020-10-12,4
2020-10-19,6
2020-10-26,4
2020-11-02,4
2020-11-09,2
2020-11-16,2
2020-11-23,4
2020-11-30,4
2020-12-07,1
2020-12-14,7
2020-12-21,4
2020-12-28,3
2021,35
2021-01-04,1
2021-01-11,6
2021-01-18,5
2021-01-25,8
2021-02-01,7
2021-02-08,6
2021-02-15,2
