week commencing,Perth and Kinross
2019-12-30,35
2020-01-06,62
2020-01-13,39
2020-01-20,43
2020-01-27,34
2020-02-03,35
2020-02-10,41
2020-02-17,28
2020-02-24,35
2020-03-02,35
2020-03-09,39
2020-03-16,28
2020-03-23,44
2020-03-30,43
2020-04-06,54
2020-04-13,47
2020-04-20,51
2020-04-27,43
2020-05-04,35
2020-05-11,45
2020-05-18,40
2020-05-25,34
2020-06-01,28
2020-06-08,23
2020-06-15,30
2020-06-22,22
2020-06-29,36
2020-07-06,32
2020-07-13,34
2020-07-20,21
2020-07-27,35
2020-08-03,29
2020-08-10,29
2020-08-17,27
2020-08-24,27
2020-08-31,32
2020-09-07,38
2020-09-14,27
2020-09-21,27
2020-09-28,28
2020-10-05,34
2020-10-12,36
2020-10-19,35
2020-10-26,36
2020-11-02,32
2020-11-09,39
2020-11-16,32
2020-11-23,46
2020-11-30,41
2020-12-07,45
2020-12-14,48
2020-12-21,35
2020-12-28,32
2021,290
2021-01-04,54
2021-01-11,42
2021-01-18,70
2021-01-25,47
2021-02-01,45
2021-02-08,32
