week commencing,Angus
2020-03-16,0
2020-03-23,1
2020-03-30,2
2020-04-06,7
2020-04-13,12
2020-04-20,19
2020-04-27,7
2020-05-04,5
2020-05-11,5
2020-05-18,3
2020-05-25,4
2020-06-01,6
2020-06-08,3
2020-06-15,1
2020-06-22,0
2020-06-29,1
2020-07-06,0
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,1
2020-09-28,0
2020-10-05,0
2020-10-12,0
2020-10-19,2
2020-10-26,0
2020-11-02,2
2020-11-09,3
2020-11-16,3
2020-11-23,3
2020-11-30,1
2020-12-07,3
2020-12-14,1
2020-12-21,2
2020-12-28,2
2021,66
2021-01-04,4
2021-01-11,8
2021-01-18,10
2021-01-25,16
2021-02-01,14
2021-02-08,7
2021-02-15,7
