week commencing,Dumfries and Galloway
2020-03-16,0
2020-03-23,0
2020-03-30,12
2020-04-06,9
2020-04-13,10
2020-04-20,3
2020-04-27,6
2020-05-04,6
2020-05-11,1
2020-05-18,0
2020-05-25,0
2020-06-01,0
2020-06-08,0
2020-06-15,0
2020-06-22,0
2020-06-29,0
2020-07-06,0
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,1
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,1
2020-10-05,0
2020-10-12,1
2020-10-19,4
2020-10-26,10
2020-11-02,2
2020-11-09,3
2020-11-16,4
2020-11-23,5
2020-11-30,0
2020-12-07,1
2020-12-14,0
2020-12-21,0
2020-12-28,0
2021,79
2021-01-04,4
2021-01-11,20
2021-01-18,19
2021-01-25,12
2021-02-01,13
2021-02-08,7
2021-02-15,4
