week commencing,Fife
2019-12-30,70
2020-01-06,96
2020-01-13,96
2020-01-20,96
2020-01-27,79
2020-02-03,81
2020-02-10,80
2020-02-17,88
2020-02-24,79
2020-03-02,79
2020-03-09,80
2020-03-16,70
2020-03-23,98
2020-03-30,82
2020-04-06,109
2020-04-13,113
2020-04-20,102
2020-04-27,110
2020-05-04,91
2020-05-11,81
2020-05-18,67
2020-05-25,90
2020-06-01,71
2020-06-08,51
2020-06-15,63
2020-06-22,72
2020-06-29,76
2020-07-06,64
2020-07-13,75
2020-07-20,63
2020-07-27,94
2020-08-03,75
2020-08-10,73
2020-08-17,93
2020-08-24,76
2020-08-31,79
2020-09-07,69
2020-09-14,78
2020-09-21,69
2020-09-28,86
2020-10-05,81
2020-10-12,69
2020-10-19,73
2020-10-26,70
2020-11-02,79
2020-11-09,73
2020-11-16,79
2020-11-23,92
2020-11-30,86
2020-12-07,112
2020-12-14,93
2020-12-21,85
2020-12-28,79
2021,779
2021-01-04,128
2021-01-11,127
2021-01-18,108
2021-01-25,133
2021-02-01,92
2021-02-08,88
2021-02-15,103
