week commencing,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2020-03-16,1,0,0,2,0,2,3,1,0,2,0,0,0,0
2020-03-23,9,3,0,4,7,3,13,5,8,7,0,0,3,0
2020-03-30,17,13,12,9,20,6,107,11,40,32,0,1,14,0
2020-04-06,40,15,9,31,32,35,194,13,90,108,2,4,37,0
2020-04-13,51,7,10,39,31,43,198,21,90,109,0,1,51,0
2020-04-20,39,3,3,33,34,40,232,22,83,114,0,0,59,0
2020-04-27,34,4,6,25,32,30,171,16,74,99,0,1,34,0
2020-05-04,28,3,6,19,31,28,125,9,51,81,0,0,33,0
2020-05-11,21,6,1,15,17,27,118,6,46,54,0,0,25,0
2020-05-18,21,4,0,4,12,17,75,4,30,44,0,0,19,0
2020-05-25,14,4,0,8,3,9,30,4,22,24,0,0,13,0
2020-06-01,6,6,0,3,4,5,21,2,19,15,0,0,9,0
2020-06-08,6,3,0,3,5,6,17,0,8,11,0,0,9,0
2020-06-15,4,1,0,2,4,4,15,0,8,9,0,0,2,0
2020-06-22,1,0,0,3,3,3,8,0,12,4,0,0,2,0
2020-06-29,0,1,0,0,1,0,4,0,3,7,0,0,3,0
2020-07-06,0,1,0,1,0,1,1,1,1,5,0,0,2,0
2020-07-13,0,0,0,0,2,1,0,0,1,2,0,0,0,0
2020-07-20,1,0,0,2,0,0,3,0,2,0,0,0,0,0
2020-07-27,0,0,0,0,2,0,2,0,1,1,0,0,0,0
2020-08-03,0,0,0,0,1,0,3,0,0,0,0,0,1,0
2020-08-10,0,0,0,0,0,0,1,0,0,2,0,0,0,0
2020-08-17,0,0,0,0,1,1,1,0,1,1,0,0,0,0
2020-08-24,0,1,1,0,0,1,2,0,1,1,0,0,0,0
2020-08-31,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2020-09-07,0,0,0,1,0,1,3,0,0,0,0,0,0,0
2020-09-14,1,0,0,1,0,1,3,1,4,0,0,0,0,0
2020-09-21,0,0,0,1,1,0,3,1,3,0,0,0,1,0
2020-09-28,1,2,1,0,1,0,6,1,5,3,0,0,0,0
2020-10-05,1,0,0,0,0,0,7,0,9,8,0,0,0,0
2020-10-12,10,0,1,2,2,1,31,1,8,17,0,0,2,1
2020-10-19,9,1,4,1,2,5,44,3,20,14,0,0,3,0
2020-10-26,18,2,10,4,2,5,51,0,52,16,0,0,8,0
2020-11-02,22,1,2,1,15,3,85,5,43,19,0,0,12,0
2020-11-09,29,2,3,10,16,4,106,0,63,31,1,1,13,0
2020-11-16,38,1,4,8,15,7,81,2,51,31,0,0,10,0
2020-11-23,31,2,5,11,13,7,82,0,54,28,0,0,19,0
2020-11-30,34,1,0,4,8,10,73,2,54,29,0,0,18,0
2020-12-07,28,2,1,12,6,18,60,2,48,40,0,0,10,0
2020-12-14,22,5,0,12,7,20,60,2,37,32,0,0,11,0
2020-12-21,21,1,0,23,13,15,50,3,37,24,0,0,13,0
2020-12-28,19,9,0,16,6,15,44,2,28,32,0,0,16,0
2021,260,39,79,162,162,189,684,76,453,297,1,3,243,4
2021-01-04,36,3,4,28,17,37,111,1,77,52,0,0,25,1
2021-01-11,43,3,20,34,16,21,95,1,48,48,0,2,42,0
2021-01-18,47,9,19,33,27,44,95,18,76,35,0,1,48,0
2021-01-25,43,9,12,27,25,33,106,20,68,58,0,0,42,0
2021-02-01,27,6,13,17,21,28,103,14,65,42,1,0,39,1
2021-02-08,36,5,7,12,33,18,80,11,65,33,0,0,24,1
2021-02-15,28,4,4,11,23,8,94,11,54,29,0,0,23,1
